keyword,source,seed,word_count,score,cluster
tata global internship 2025,youtube,Global internship,4,89.9,0
tata global internship 2026,youtube,Global internship,4,89.9,0
global markets internship,youtube,Global internship,3,89.71,0
launched global internship,youtube,Global internship,3,89.8,0
global internship award,bing,Global internship,3,89.51,0
global internship opportunities,google,Global internship,3,89.71,0
global internship,google,Global internship,2,66.43,0
tata global internship,youtube,Global internship,3,89.41,0
global internship,youtube,Global internship,2,66.43,0
global internship program 2026 japan,google,Global internship,5,87.97,1
global internship program japan,google,Global internship,4,74.71,1
global internship program japan,bing,Global internship,4,74.71,1
global internship japan,google,Global internship,3,89.51,1
global internships for graduates,bing,Global internship,4,89.61,2
global internships 2026,google,Global internship,3,89.51,2
global internships with stipend,bing,Global internship,4,89.71,2
global internships in technology,bing,Global internship,4,89.61,2
global internships in finance,bing,Global internship,4,89.9,2
global internships,bing,Global internship,2,81.52,2
global internship program kpmg,bing,Global internship,4,89.8,3
global internship program,bing,Global internship,3,59.71,3
global internship program,youtube,Global internship,3,59.71,3
kpmg global internship program,youtube,Global internship,4,89.8,3
global internship program 2026,bing,Global internship,4,74.8,3
global internship program 2026,google,Global internship,4,74.8,3
global internship program,google,Global internship,3,59.71,3
hennge global internship,youtube,Global internship,3,89.61,4
global internship program hennge,google,Global internship,4,89.61,4
global internship program 2026 hennge,google,Global internship,5,87.87,4
hennge global internship coding challenge,youtube,Global internship,5,87.48,4
