keyword,source,seed,word_count,score,cluster
data science course code with harry,bing,data science course,6,69.09,0
data science course code with harry,youtube,data science course,6,69.09,0
data science course in delhi fees,google,data science course,6,84.31,1
data science course fees,youtube,data science course,4,59.66,1
data science course in delhi,bing,data science course,5,73.64,1
data science course in delhi,google,data science course,5,73.64,1
data science course fees,bing,data science course,4,59.66,1
data science course fees,google,data science course,4,59.66,1
online data science,gemini,data science course,3,84.29,2
data science courses online,bing,data science course,4,90.0,2
data science course online,google,data science course,4,89.89,2
data science course eligibility,google,data science course,4,89.54,3
data science course duration,google,data science course,4,89.89,3
data science courses free,bing,data science course,4,89.77,3
data science course details,youtube,data science course,4,90.0,3
data science course playlist,youtube,data science course,4,89.89,3
data science course in bangalore,bing,data science course,5,88.18,3
data science course in telugu,youtube,data science course,5,88.52,3
data science course in hyderabad,bing,data science course,5,88.18,3
data science course with placement,youtube,data science course,5,87.95,3
certification data science,gemini,data science course,3,85.09,3
professional data science,gemini,data science course,3,84.97,3
data science course in bhubaneswar,bing,data science course,5,87.95,3
data science courses with placement,bing,data science course,5,87.84,3
data science bootcamp,gemini,data science course,3,84.51,3
data science courses,bing,data science course,3,89.2,3
data science course in pune,bing,data science course,5,88.75,3
data science course near me,google,data science course,5,88.75,3
data science course in hindi,youtube,data science course,5,88.64,3
data science course in tamil,youtube,data science course,5,88.64,3
data science course malayalam,youtube,data science course,4,89.77,3
data science course free,google,data science course,4,89.66,3
data science course,google,data science course,3,74.09,3
data science course syllabus,google,data science course,4,74.89,3
data science course syllabus,bing,data science course,4,74.89,3
applied data science,gemini,data science course,3,84.4,3
R data science course,gemini,data science course,4,84.51,3
best data science course,gemini,data science course,4,84.86,3
beginner data science,gemini,data science course,3,84.51,3
data science course,youtube,data science course,3,74.09,3
Python data science course,gemini,data science course,4,85.09,4
learn data science Python,gemini,data science course,4,84.97,4
