keyword,source,seed,word_count,score,cluster
advanced ML training,gemini,machine learning course,3,84.27,0
online ML course,gemini,machine learning course,3,83.91,0
python ML course,gemini,machine learning course,3,83.91,0
beginner ML course,gemini,machine learning course,3,84.09,0
practical ML training,gemini,machine learning course,3,84.36,0
ML certification program,gemini,machine learning course,3,84.62,0
machine learning course free,bing,machine learning course,4,74.78,1
machine learning course free with certificate,google,machine learning course,6,83.71,1
machine learning course free,google,machine learning course,4,74.78,1
learn data science,gemini,machine learning course,3,84.09,2
machine learning coursera,google,machine learning course,3,89.51,2
machine learning course by andrew ng,youtube,machine learning course,6,69.51,2
machine learning course by andrew ng,google,machine learning course,6,69.51,2
machine learning coursera andrew ng,bing,machine learning course,5,88.35,2
machine learning course google,bing,machine learning course,4,89.96,3
machine learning course online,google,machine learning course,4,89.96,3
machine learning course by google,google,machine learning course,5,88.53,3
machine learning course in telugu,youtube,machine learning course,5,88.53,3
machine learning course in tamil,youtube,machine learning course,5,88.62,3
machine learning course in delhi,google,machine learning course,5,88.62,3
machine learning course in hindi,youtube,machine learning course,5,88.62,3
machine learning course pdf,bing,machine learning course,4,89.69,3
machine learning course fees,google,machine learning course,4,89.78,3
machine learning course malayalam,youtube,machine learning course,4,89.78,3
machine learning course for beginners,youtube,machine learning course,5,88.17,3
best machine learning,gemini,machine learning course,3,84.36,3
machine learning course near me fees,bing,machine learning course,6,84.51,3
machine learning courses online,bing,machine learning course,4,89.96,3
machine learning course stanford,bing,machine learning course,4,89.87,3
machine learning course playlist,youtube,machine learning course,4,89.87,3
machine learning course udemy,bing,machine learning course,4,89.87,3
machine learning course campusx,youtube,machine learning course,4,89.96,3
machine learning course,youtube,machine learning course,3,59.33,3
AI machine learning,gemini,machine learning course,3,84.18,3
machine learning course near me duration,bing,machine learning course,6,84.16,3
machine learning course near me reviews,bing,machine learning course,6,84.24,3
machine learning course with projects,youtube,machine learning course,5,88.17,3
machine learning course syllabus,google,machine learning course,4,74.87,3
machine learning course syllabus,bing,machine learning course,4,74.87,3
machine learning course,google,machine learning course,3,59.33,3
machine learning course,bing,machine learning course,3,59.33,3
deep learning course,gemini,machine learning course,3,84.27,4
